Date,Close,Volume,Open,High,Low
02-12-2022,13.13,106291200,12.06,13.32,11.97
01-12-2022,12.09,59583370,12.35,12.55,11.95
30-11-2022,12.78,173185000,11.34,13.27,11.34
29-11-2022,10.5,48292290,10.65,10.9,10.39
28-11-2022,10.12,39198810,10.05,10.63,9.99
25-11-2022,10.17,23487640,10.26,10.3,9.96
23-11-2022,10.56,49399120,10.31,10.735,10.24
22-11-2022,10.01,36096340,9.87,10.1,9.75
21-11-2022,10.02,53072150,10.22,10.25,9.67
18-11-2022,10.47,49320200,10.65,10.81,10.26
17-11-2022,10.67,62563460,10.25,10.715,9.93
16-11-2022,10.53,49624860,11.17,11.29,10.45
15-11-2022,11.51,63244230,11.905,11.95,11.36
14-11-2022,11.17,62011980,11.86,12.12,11.17
11-11-2022,11.56,100635600,10.79,11.69,10.54
10-11-2022,10.34,84026750,10.3,10.83,10.05
09-11-2022,9.25,81211780,10.0,10.175,9.14
08-11-2022,10.56,61734920,10.68,10.8697,10.08
07-11-2022,10.98,84143590,12.23,12.38,10.7
04-11-2022,11.68,125406400,11.0,11.69,10.6
03-11-2022,9.94,64660310,9.19,10.17,9.03
02-11-2022,9.49,76033430,9.6,10.13,9.48
